Date,Last Price
2/28/2017,835
2/27/2017,847
2/24/2017,857
2/23/2017,856
2/22/2017,852
2/21/2017,857
2/20/2017,859
2/17/2017,863
2/16/2017,869
2/15/2017,850
2/14/2017,862
2/13/2017,851
2/10/2017,847
2/9/2017,846
2/8/2017,842
2/7/2017,846
2/6/2017,856
2/3/2017,858
2/2/2017,864
2/1/2017,877
1/31/2017,901
1/30/2017,930
1/27/2017,946
1/26/2017,965
1/25/2017,977
1/24/2017,987
1/23/2017,995
1/20/2017,997
1/19/2017,1002
1/18/2017,1006
1/17/2017,1001
1/16/2017,1018
1/13/2017,1027
1/12/2017,1024
1/11/2017,1018
1/10/2017,1017
1/9/2017,1013
1/6/2017,1026
1/5/2017,1024
1/4/2017,1053
1/3/2017,1088
